#INH Enhancers
#Created from output/INH_5KB_STITCHED_REGION_MAP.txt
#Ranked by INH.H3K27ac.sorted.bam
#Using cutoff of 15595.8 for Super-Enhancers
#Created on Aug 19 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	INH.H3K27ac.sorted.bam	enhancerRank	isSuper
87_peak_66786_lociStitched	chr18	61288000	61401600	87	97687	136297.28	35	1
98_peak_286_lociStitched	chr10	5407400	5555400	98	111098	133806.8	36	1
57_peak_123843_lociStitched	chr5	36864400	36964200	57	73857	133801.86	37	1
113_peak_139633_lociStitched	chr6	118911200	119105000	113	141113	131473.92	38	1
45_peak_38277_lociStitched	chr14	64115200	64204400	45	77445	131088.32	39	1
111_peak_115651_lociStitched	chr4	106908600	107053600	111	130311	131080	40	1
57_peak_160453_lociStitched	chr9	34858400	34996000	57	106057	130720	41	1
70_peak_96527_lociStitched	chr2	136668400	136791200	70	107470	129946.96	42	1
95_peak_60232_lociStitched	chr17	66320000	66445200	95	113295	129181.36	43	1
89_peak_42143_lociStitched	chr15	27905000	28027200	89	111289	129030.98	44	1
130_peak_24783_lociStitched	chr12	89817800	90005000	130	169330	128774.88	45	1
133_peak_78975_lociStitched	chr1	89456400	89628600	133	159133	128598.96	46	1
101_peak_160016_lociStitched	chr9	29279400	29414400	101	112701	123268.5	47	1
90_peak_94039_lociStitched	chr2	104248800	104412000	90	126290	121535.04	48	1
59_peak_148648_lociStitched	chr7	132711400	132815200	59	90459	121311.06	49	1
153_peak_113774_lociStitched	chr4	82293000	82500200	153	170153	120466.08	50	1
84_peak_4860_lociStitched	chr10	69689600	69808400	84	99084	120285	51	1
81_peak_51093_lociStitched	chr16	24389600	24525600	81	109881	119816	52	1
54_peak_394_lociStitched	chr10	7111200	7214200	54	92854	119469.7	53	1
105_peak_21600_lociStitched	chr12	40448400	40626600	105	148305	119287.08	54	1
54_peak_120736_lociStitched	chr4	155241600	155341800	54	80454	118536.6	55	1
57_peak_38349_lociStitched	chr14	64308000	64421400	57	93457	117845.28	56	1
83_peak_10520_lociStitched	chr11	7045800	7161800	83	106283	115698.4	57	1
69_peak_137184_lociStitched	chr6	88726800	88842400	69	95269	115623.12	58	1
65_peak_160773_lociStitched	chr9	40307800	40415600	65	78265	114149.42	59	1
95_peak_154078_lociStitched	chr8	84417800	84530600	95	104295	113612.16	60	1
71_peak_23735_lociStitched	chr12	80781800	80884800	71	93871	112105.2	61	1
166_peak_29564_lociStitched	chr13	44734400	44922600	166	163566	111847.26	62	1
47_peak_114773_lociStitched	chr4	98545600	98641200	47	83247	111287.96	63	1
40_peak_124761_lociStitched	chr5	53134600	53218800	40	75040	110916.66	64	1
58_peak_166682_lociStitched	chr9	108093000	108188600	58	85058	110666.56	65	1
55_peak_140380_lociStitched	chr6	127965400	128050000	55	73655	110665.26	66	1
64_peak_144678_lociStitched	chr7	75189400	75305200	64	91064	110658.48	67	1
119_peak_25908_lociStitched	chr12	102566600	102712200	119	109519	108777.76	68	1
46_peak_147205_lociStitched	chr7	112221800	112321600	46	89046	108772.02	69	1
121_peak_1168_lociStitched	chr10	13968800	14121600	121	134921	108029.6	70	1
68_peak_53239_lociStitched	chr16	44478600	44566600	68	77668	107069.6	71	1
49_peak_57752_lociStitched	chr17	27422400	27508000	49	75249	106683.28	72	1
104_peak_56463_lociStitched	chr17	8522600	8690000	104	118904	106416.18	73	1
63_peak_91604_lociStitched	chr2	71973000	72070800	63	76263	106064.1	74	1
57_peak_66954_lociStitched	chr18	61816000	61912600	57	76657	105429.24	75	1
74_peak_10964_lociStitched	chr11	19917200	20012600	74	79674	105378.84	76	1
102_peak_40749_lociStitched	chr14	121644000	121795800	102	118702	104225.88	77	1
56_peak_10313_lociStitched	chr11	5973000	6063200	56	76856	103513.52	78	1
73_peak_162419_lociStitched	chr9	55324200	55434800	73	85673	102957.54	79	1
43_peak_143731_lociStitched	chr7	63496600	63611000	43	81443	102868.48	80	1
98_peak_67706_lociStitched	chr18	67931600	68072800	98	103098	102751.24	81	1
77_peak_140331_lociStitched	chr6	126553200	126640600	77	83877	102695	82	1
59_peak_6654_lociStitched	chr10	84353400	84445000	59	74259	102436.28	83	1
73_peak_2860_lociStitched	chr10	42177800	42274000	73	92473	101567.96	84	1
83_peak_113511_lociStitched	chr4	76324200	76452600	83	94083	100447.32	85	1
100_peak_54650_lociStitched	chr16	85036600	85174800	100	107100	100347.02	86	1
47_peak_159950_lociStitched	chr9	29176800	29274000	47	86447	100232.64	87	1
54_peak_111945_lociStitched	chr4	53438200	53528400	54	75454	99950.62	88	1
63_peak_77216_lociStitched	chr1	64018200	64123400	63	86063	98982.68	89	1
87_peak_27461_lociStitched	chr13	11975200	12105000	87	111087	98907.6	90	1
61_peak_68552_lociStitched	chr18	77190000	77263400	61	67861	98253.24	91	1
69_peak_115414_lociStitched	chr4	104366200	104480600	69	87869	97995.04	92	1
61_peak_112387_lociStitched	chr4	59804600	59898200	61	74461	97437.6	93	1
75_peak_72508_lociStitched	chr19	47177000	47267800	75	75475	96656.6	94	1
66_peak_63708_lociStitched	chr18	23806400	23891800	66	81866	96245.8	95	1
67_peak_12066_lociStitched	chr11	42423400	42544400	67	97467	95965.1	96	1
56_peak_107216_lociStitched	chr3	127147200	127227800	56	66256	95817.28	97	1
67_peak_160978_lociStitched	chr9	41040800	41159200	67	82667	95667.2	98	1
126_peak_109690_lociStitched	chr4	9271800	9431600	126	109326	94601.6	99	1
89_peak_92633_lociStitched	chr2	90474600	90584200	89	99289	93466.88	100	1
88_peak_111618_lociStitched	chr4	46853400	46993800	88	115688	93351.96	101	1
71_peak_49328_lociStitched	chr16	6353600	6455200	71	83671	92496.64	102	1
61_peak_150021_lociStitched	chr8	11729400	11830800	61	77461	91898.82	103	1
79_peak_65331_lociStitched	chr18	38991000	39110800	79	92879	91383.44	104	1
58_peak_91094_lociStitched	chr2	65622400	65705400	58	72458	91158.9	105	1
65_peak_38834_lociStitched	chr14	70508400	70605800	65	60065	90932.64	106	1
107_peak_61628_lociStitched	chr17	86300400	86472400	107	129307	90712.8	107	1
74_peak_139743_lociStitched	chr6	119757600	119865400	74	75674	90444.2	108	1
139_peak_128502_lociStitched	chr5	118562800	118736200	139	130139	90289.38	109	1
45_peak_34851_lociStitched	chr14	15353000	15440400	45	78845	90249.24	110	1
69_peak_130516_lociStitched	chr5	136441400	136565600	69	85669	88517.34	111	1
84_peak_103034_lociStitched	chr3	60498800	60604000	84	93884	88010.32	112	1
40_peak_106366_lociStitched	chr3	114903200	114976400	40	58840	87832.68	113	1
64_peak_23173_lociStitched	chr12	76621200	76709000	64	69464	86886.88	114	1
70_peak_82334_lociStitched	chr1	154782400	154889400	70	91070	86712.8	115	1
86_peak_113161_lociStitched	chr4	68835800	68956200	86	109086	86579.64	116	1
76_peak_60653_lociStitched	chr17	70520200	70647800	76	84476	86576.6	117	1
57_peak_36224_lociStitched	chr14	31374200	31438800	57	58057	86312.06	118	1
55_peak_25206_lociStitched	chr12	98489800	98579200	55	69655	86190.54	119	1
81_peak_114634_lociStitched	chr4	97852800	97970400	81	81681	85201.2	120	1
48_peak_143077_lociStitched	chr7	46404200	46493000	48	65848	84857.28	121	1
89_peak_61528_lociStitched	chr17	86158800	86295200	89	112689	82999.4	122	1
78_peak_157276_lociStitched	chr8	120481600	120582400	78	78278	82807.2	123	1
61_peak_161045_lociStitched	chr9	42033800	42141600	61	70061	82100.48	124	1
44_peak_143824_lociStitched	chr7	63879200	63940800	44	54244	82094.32	125	1
47_peak_85633_lociStitched	chr1	192330200	192422200	47	63047	81475.2	126	1
95_peak_143379_lociStitched	chr7	49249600	49412800	95	125695	81420.48	127	1
49_peak_37324_lociStitched	chr14	55048000	55126200	49	57249	81093.4	128	1
34_peak_165541_lociStitched	chr9	96818400	96891600	34	62434	80175.96	129	1
23_peak_127763_lociStitched	chr5	113535800	113594000	23	50423	80129.76	130	1
79_peak_40425_lociStitched	chr14	120278000	120381000	79	91479	80031	131	1
22_peak_64771_lociStitched	chr18	35828400	35879400	22	40822	79605.9	132	1
73_peak_24086_lociStitched	chr12	83362000	83482200	73	91273	79572.4	133	1
51_peak_154219_lociStitched	chr8	84698800	84768800	51	58851	79555	134	1
92_peak_148752_lociStitched	chr7	133001000	133119800	92	90492	79536.6	135	1
56_peak_86944_lociStitched	chr2	20892400	20970200	56	69456	79387.12	136	1
54_peak_29104_lociStitched	chr13	43193800	43277000	54	67654	79223.04	137	1
63_peak_21383_lociStitched	chr12	38787600	38865000	63	72663	78499.08	138	1
49_peak_64306_lociStitched	chr18	32936400	33011200	49	62049	78397.88	139	1
49_peak_151654_lociStitched	chr8	40981000	41058200	49	62649	78280.8	140	1
51_peak_152160_lociStitched	chr8	54958000	55051800	51	82651	77975.94	141	1
58_peak_42022_lociStitched	chr15	27468800	27553200	58	78058	77715.52	142	1
75_peak_106906_lociStitched	chr3	123579200	123692000	75	86475	77662.8	143	1
66_peak_11643_lociStitched	chr11	32645200	32722200	66	73266	77639.1	144	1
66_peak_68900_lociStitched	chr18	80038200	80119600	66	64066	77598.62	145	1
26_peak_152634_lociStitched	chr8	67698200	67775800	26	63826	77561.2	146	1
49_peak_139921_lociStitched	chr6	121037000	121111200	49	68649	77242.2	147	1
33_peak_93011_lociStitched	chr2	92372800	92447200	33	45833	76892.4	148	1
52_peak_92166_lociStitched	chr2	77741400	77818400	52	66052	76730.5	149	1
55_peak_157841_lociStitched	chr8	122896800	122969600	55	62855	76622	150	1
54_peak_121891_lociStitched	chr5	22105600	22199800	54	68654	76565.76	151	1
89_peak_2405_lociStitched	chr10	39368600	39474200	89	90689	76443.84	152	1
85_peak_46051_lociStitched	chr15	78002000	78122600	85	82085	76243.32	153	1
51_peak_151452_lociStitched	chr8	36456800	36528800	51	58251	76125.6	154	1
75_peak_14726_lociStitched	chr11	75196400	75283000	75	66875	76121.4	155	1
59_peak_126005_lociStitched	chr5	88791600	88867200	59	60059	75947.76	156	1
65_peak_19800_lociStitched	chr12	3808400	3896600	65	78465	75296.34	157	1
62_peak_120377_lociStitched	chr4	152176800	152279800	62	70662	75076.7	158	1
34_peak_24034_lociStitched	chr12	83227000	83319200	34	54034	74801.86	159	1
33_peak_152895_lociStitched	chr8	70379600	70438200	33	48433	74785.32	160	1
76_peak_13720_lociStitched	chr11	61958600	62038200	76	65276	74131.48	161	1
33_peak_40921_lociStitched	chr14	122868600	122930800	33	49833	73999.34	162	1
50_peak_18360_lociStitched	chr11	115201200	115276200	50	51850	73777.5	163	1
53_peak_44845_lociStitched	chr15	63989200	64063200	53	62253	73718.8	164	1
38_peak_84281_lociStitched	chr1	176145200	176215600	38	58838	73539.84	165	1
31_peak_115020_lociStitched	chr4	101416400	101473800	31	46231	73391.64	166	1
36_peak_123440_lociStitched	chr5	34224000	34286000	36	52436	73339.8	167	1
68_peak_10836_lociStitched	chr11	18897600	19013800	68	86868	73298.96	168	1
54_peak_136993_lociStitched	chr6	86848000	86934800	54	64254	73068.24	169	1
62_peak_10047_lociStitched	chr11	3716000	3812200	62	56062	72746.44	170	1
53_peak_145082_lociStitched	chr7	80602400	80686200	53	67653	72629.46	171	1
32_peak_135321_lociStitched	chr6	54506800	54567800	32	52832	72620.5	172	1
32_peak_98123_lociStitched	chr2	155763800	155819000	32	43232	71710.32	173	1
74_peak_132456_lociStitched	chr6	21222400	21374400	74	104674	71318.4	174	1
27_peak_109003_lociStitched	chr3	156890400	156959200	27	48027	70953.44	175	1
34_peak_152471_lociStitched	chr8	64143600	64208200	34	50234	70814.52	176	1
75_peak_131531_lociStitched	chr5	147423400	147530600	75	76475	70591.2	177	1
44_peak_106425_lociStitched	chr3	115027000	115105400	44	58244	70379.68	178	1
64_peak_161897_lociStitched	chr9	49565400	49664600	64	69864	69816.96	179	1
35_peak_99362_lociStitched	chr2	167430800	167491200	35	46235	69647.24	180	1
49_peak_30469_lociStitched	chr13	54280200	54350400	49	52849	69350.58	181	1
70_peak_11299_lociStitched	chr11	30153200	30266400	70	79870	69085.96	182	1
43_peak_13640_lociStitched	chr11	61508000	61577400	43	56043	68983.6	183	1
41_peak_112136_lociStitched	chr4	57078800	57144800	41	58041	68805	184	1
54_peak_89697_lociStitched	chr2	49621200	49699800	54	69454	68735.7	185	1
44_peak_78137_lociStitched	chr1	78308800	78400200	44	66044	68394.62	186	1
55_peak_8048_lociStitched	chr10	105464400	105580000	55	68455	68146.2	187	1
47_peak_158550_lociStitched	chr8	126300000	126385000	47	58447	68068	188	1
48_peak_116632_lociStitched	chr4	120848600	120910800	48	47448	68021.92	189	1
24_peak_143087_lociStitched	chr7	46502400	46563800	24	46024	67865.42	190	1
31_peak_99186_lociStitched	chr2	165842000	165896400	31	44631	67472.32	191	1
30_peak_128405_lociStitched	chr5	118030600	118094400	30	45830	67321.76	192	1
40_peak_152506_lociStitched	chr8	64618600	64691200	40	62640	66603.24	193	1
33_peak_137592_lociStitched	chr6	91355800	91412400	33	47033	66555.94	194	1
50_peak_98348_lociStitched	chr2	156915000	156989400	50	55450	66528.48	195	1
38_peak_81280_lociStitched	chr1	134689000	134743200	38	39438	66460.04	196	1
52_peak_119046_lociStitched	chr4	140163200	140254000	52	63852	66392.96	197	1
62_peak_78791_lociStitched	chr1	87845800	87937600	62	67462	66353.04	198	1
61_peak_31380_lociStitched	chr13	63241600	63318800	61	69261	66276.2	199	1
63_peak_90589_lociStitched	chr2	59163000	59237600	63	64863	66155.28	200	1
62_peak_12215_lociStitched	chr11	43494000	43576400	62	51862	66109.52	201	1
35_peak_140931_lociStitched	chr6	140467400	140527000	35	48635	65655.36	202	1
33_peak_88203_lociStitched	chr2	31078200	31136000	33	48433	65608.78	203	1
49_peak_153891_lociStitched	chr8	83167600	83240200	49	51849	65601.36	204	1
64_peak_161968_lociStitched	chr9	49692200	49796400	64	68264	65562.64	205	1
38_peak_98423_lociStitched	chr2	157027000	157074400	38	44638	65506.8	206	1
27_peak_97624_lociStitched	chr2	152775600	152826600	27	49427	65147.4	207	1
65_peak_120702_lociStitched	chr4	155129200	155218400	65	71865	65080.32	208	1
63_peak_107003_lociStitched	chr3	126599600	126686400	63	68863	65013.2	209	1
62_peak_139516_lociStitched	chr6	118751600	118853800	62	64262	64937.88	210	1
56_peak_43613_lociStitched	chr15	41438000	41526000	56	58656	64715.2	211	1
39_peak_111399_lociStitched	chr4	46038200	46101000	39	49039	64690.28	212	1
57_peak_121998_lociStitched	chr5	22279800	22348400	57	59657	64669.22	213	1
36_peak_100405_lociStitched	chr3	8508400	8569800	36	53236	64648.06	214	1
47_peak_61215_lociStitched	chr17	80949200	81013200	47	58847	64614.4	215	1
58_peak_32897_lociStitched	chr13	99427600	99517800	58	77658	64610.26	216	1
20_peak_50537_lociStitched	chr16	18116600	18159000	20	37420	64473.44	217	1
70_peak_157463_lociStitched	chr8	121714200	121790400	70	62870	64122.3	218	1
59_peak_121427_lociStitched	chr5	15932800	16042600	59	64459	64079.28	219	1
52_peak_107162_lociStitched	chr3	127059800	127140800	52	74652	63811.8	220	1
33_peak_103326_lociStitched	chr3	68571200	68630800	33	50233	63700.48	221	1
52_peak_26216_lociStitched	chr12	108208000	108273200	52	63852	63465.68	222	1
64_peak_48507_lociStitched	chr15	100041000	100133000	64	61264	63424.8	223	1
59_peak_47106_lociStitched	chr15	86049400	86125000	59	59459	63337.68	224	1
44_peak_131424_lociStitched	chr5	147033600	147098400	44	50644	63251.28	225	1
21_peak_167768_lociStitched	chr9	122018600	122065400	21	36621	63091.08	226	1
54_peak_149150_lociStitched	chr7	139433600	139519200	54	66654	62847.52	227	1
36_peak_69790_lociStitched	chr19	6502800	6554800	36	45236	62691.2	228	1
70_peak_83472_lociStitched	chr1	166996800	167085600	70	65870	62248.8	229	1
40_peak_69688_lociStitched	chr19	6262600	6316800	40	40840	62064.42	230	1
37_peak_45956_lociStitched	chr15	77787400	77839800	37	49437	61701	231	1
69_peak_151820_lociStitched	chr8	44933200	45006400	69	63869	61524.6	232	1
70_peak_147875_lociStitched	chr7	122329000	122422800	70	61870	61307.68	233	1
79_peak_101417_lociStitched	chr3	28381200	28500400	79	81279	61054.24	234	1
37_peak_43907_lociStitched	chr15	44666800	44722400	37	54237	61043.24	235	1
38_peak_88502_lociStitched	chr2	32790200	32844600	38	42238	60857.28	236	1
58_peak_65736_lociStitched	chr18	44491000	44603200	58	61058	60745.08	237	1
76_peak_114299_lociStitched	chr4	87878800	88031000	76	92076	60636.48	238	1
67_peak_158074_lociStitched	chr8	124233000	124322400	67	71867	60452.28	239	1
63_peak_109942_lociStitched	chr4	13741800	13838400	63	73063	60384.66	240	1
55_peak_72992_lociStitched	chr19	56925800	57005600	55	59855	60256.98	241	1
51_peak_5785_lociStitched	chr10	78286200	78353600	51	56651	60154.5	242	1
52_peak_17571_lociStitched	chr11	104235000	104307800	52	50852	60118.24	243	1
26_peak_93715_lociStitched	chr2	102021600	102078200	26	40026	60114.86	244	1
41_peak_29301_lociStitched	chr13	43677000	43740000	41	42041	59579.1	245	1
39_peak_13567_lociStitched	chr11	61025800	61081600	39	48039	59432.58	246	1
37_peak_103887_lociStitched	chr3	79509200	79566800	37	47437	59420.16	247	1
44_peak_136643_lociStitched	chr6	83381000	83444800	44	53244	59066.04	248	1
30_peak_156083_lociStitched	chr8	110687200	110742400	30	37430	58876.32	249	1
26_peak_134255_lociStitched	chr6	40400000	40441800	26	38626	58603.6	250	1
62_peak_79580_lociStitched	chr1	105270600	105360400	62	68262	58316.12	251	1
52_peak_118116_lociStitched	chr4	134618400	134685000	52	45852	58301.64	252	1
83_peak_126105_lociStitched	chr5	88876200	88969600	83	80483	58038.76	253	1
54_peak_52907_lociStitched	chr16	42264200	42341800	54	64054	57928.4	254	1
59_peak_44455_lociStitched	chr15	57696400	57777000	59	58859	57846.62	255	1
60_peak_9145_lociStitched	chr10	116505400	116586400	60	58060	57704.4	256	1
36_peak_77951_lociStitched	chr1	75356600	75415000	36	36836	57605.76	257	1
33_peak_68073_lociStitched	chr18	69532200	69592400	33	49033	57593.34	258	1
38_peak_157161_lociStitched	chr8	120115400	120168800	38	43238	57479.76	259	1
31_peak_154551_lociStitched	chr8	87476200	87527400	31	47231	57384.96	260	1
22_peak_21105_lociStitched	chr12	31884000	31933400	22	33022	57220.02	261	1
49_peak_57618_lociStitched	chr17	26563600	26639400	49	52049	57077.4	262	1
41_peak_100116_lociStitched	chr2	181102400	181162400	41	43041	56940	263	1
43_peak_156418_lociStitched	chr8	112568600	112645200	43	43843	56622.72	264	1
49_peak_118526_lociStitched	chr4	137659600	137716000	49	41649	56507.16	265	1
57_peak_93753_lociStitched	chr2	102104600	102206400	57	59257	56163.06	266	1
82_peak_161607_lociStitched	chr9	46011200	46125200	82	63682	56076.6	267	1
34_peak_24967_lociStitched	chr12	90108200	90171200	34	48234	56013.3	268	1
25_peak_23252_lociStitched	chr12	76907200	76960000	25	41425	55999.68	269	1
45_peak_7340_lociStitched	chr10	93631600	93709200	45	53845	55755.6	270	1
54_peak_103824_lociStitched	chr3	79191000	79289400	54	70854	55733.76	271	1
48_peak_29249_lociStitched	chr13	43614800	43669800	48	41648	55599.5	272	1
21_peak_7645_lociStitched	chr10	96626600	96664400	21	33821	55528.2	273	1
78_peak_4419_lociStitched	chr10	63996400	64083800	78	73878	55429.08	274	1
67_peak_90762_lociStitched	chr2	59613600	59701200	67	65467	55249.32	275	1
48_peak_54333_lociStitched	chr16	76290600	76372000	48	63848	55205.48	276	1
56_peak_137872_lociStitched	chr6	94625000	94698800	56	61456	55180.26	277	1
49_peak_23557_lociStitched	chr12	78961000	79009400	49	41649	55156.64	278	1
56_peak_1735_lociStitched	chr10	21880400	21950600	56	54456	55114.02	279	1
25_peak_14066_lociStitched	chr11	67637000	67688400	25	32625	55075.1	280	1
50_peak_114573_lociStitched	chr4	97773800	97847200	50	58050	55042.66	281	1
25_peak_97682_lociStitched	chr2	153008400	153058000	25	35625	55031.2	282	1
45_peak_138192_lociStitched	chr6	103503800	103571400	45	50845	55012.88	283	1
53_peak_127274_lociStitched	chr5	110377200	110447000	53	51053	54953.54	284	1
64_peak_99049_lociStitched	chr2	165178800	165263400	64	60064	54863.1	285	1
45_peak_121555_lociStitched	chr5	18305400	18370200	45	46645	54853.2	286	1
20_peak_122735_lociStitched	chr5	27366000	27427600	20	38220	54793.2	287	1
48_peak_150273_lociStitched	chr8	13608600	13675000	48	57048	54600.72	288	1
42_peak_8186_lociStitched	chr10	107267600	107326400	42	52842	54595.8	289	1
49_peak_71020_lociStitched	chr19	24486200	24557800	49	46849	54552.04	290	1
68_peak_108855_lociStitched	chr3	156625600	156724800	68	69668	54520.32	291	1
43_peak_35799_lociStitched	chr14	27323800	27392800	43	50243	54199.5	292	1
70_peak_91670_lociStitched	chr2	72076400	72181800	70	79870	53964.8	293	1
24_peak_158466_lociStitched	chr8	126000400	126038400	24	37624	53918.2	294	1
26_peak_27788_lociStitched	chr13	19001000	19056400	26	43626	53893.12	295	1
52_peak_59625_lociStitched	chr17	56327400	56394000	52	52452	53886.06	296	1
39_peak_81164_lociStitched	chr1	134189000	134236600	39	35639	53821.32	297	1
23_peak_11620_lociStitched	chr11	32585200	32629000	23	35023	53803.92	298	1
51_peak_43697_lociStitched	chr15	41681000	41753400	51	40651	53706.32	299	1
73_peak_138948_lociStitched	chr6	113969800	114048400	73	55073	53636.64	300	1
48_peak_158126_lociStitched	chr8	124374400	124430200	48	49248	53495.46	301	1
22_peak_78390_lociStitched	chr1	83246600	83303600	22	41622	53471.7	302	1
43_peak_167806_lociStitched	chr9	122109600	122178800	43	52643	53436.24	303	1
55_peak_31141_lociStitched	chr13	58894200	58985200	55	54655	53435.2	304	1
22_peak_83979_lociStitched	chr1	173331000	173377800	22	37622	53389.44	305	1
13_peak_154380_lociStitched	chr8	86525000	86565600	13	29213	53291.56	306	1
13_peak_160240_lociStitched	chr9	31289800	31335600	13	32413	53146.32	307	1
33_peak_3983_lociStitched	chr10	60778600	60826200	33	47233	53078.76	308	1
34_peak_123036_lociStitched	chr5	30576200	30629000	34	43034	53016.48	309	1
63_peak_22961_lociStitched	chr12	75492800	75587200	63	69063	52741.28	310	1
37_peak_45228_lociStitched	chr15	71663000	71726200	37	54837	52670.88	311	1
38_peak_119379_lociStitched	chr4	142037600	142096200	38	42238	52657.96	312	1
35_peak_150129_lociStitched	chr8	12917200	12965200	35	46235	52598.4	313	1
21_peak_76786_lociStitched	chr1	59195200	59235800	21	36021	52556.7	314	1
36_peak_156157_lociStitched	chr8	110918800	110969000	36	44236	52544.34	315	1
89_peak_55506_lociStitched	chr16	94572000	94662800	89	84689	52382.52	316	1
31_peak_113417_lociStitched	chr4	76144000	76206600	31	40831	52346.12	317	1
77_peak_80642_lociStitched	chr1	131413200	131522000	77	94077	52278.4	318	1
43_peak_101572_lociStitched	chr3	31238600	31311600	43	54643	52195	319	1
47_peak_5607_lociStitched	chr10	77359200	77419600	47	53047	52185.6	320	1
31_peak_133086_lociStitched	chr6	28794400	28835200	31	33231	52073.04	321	1
36_peak_85797_lociStitched	chr1	193298200	193353000	36	40236	51775.04	322	1
47_peak_167050_lociStitched	chr9	112168600	112230600	47	51647	51683.2	323	1
23_peak_49818_lociStitched	chr16	9872800	9931600	23	45823	51591.12	324	1
18_peak_109772_lociStitched	chr4	9628600	9667600	18	35818	51320.1	325	1
49_peak_27950_lociStitched	chr13	20458800	20529800	49	52049	51240.7	326	1
48_peak_102487_lociStitched	chr3	53192600	53259400	48	55448	51142.08	327	1
44_peak_37211_lociStitched	chr14	54720600	54779600	44	42644	51088.1	328	1
47_peak_126676_lociStitched	chr5	101945600	102026800	47	50847	50904.28	329	1
50_peak_56361_lociStitched	chr17	6109400	6181600	50	55050	50901	330	1
45_peak_50511_lociStitched	chr16	17826200	17894600	45	47245	50869.08	331	1
35_peak_92722_lociStitched	chr2	90942600	90995200	35	44435	50853.68	332	1
24_peak_102444_lociStitched	chr3	53137400	53186000	24	42824	50738.4	333	1
58_peak_159861_lociStitched	chr9	29011200	29115600	58	67658	50675.76	334	1
23_peak_153748_lociStitched	chr8	81821400	81871600	23	31223	50320.48	335	1
27_peak_150341_lociStitched	chr8	14987600	15036600	27	46027	50176	336	1
30_peak_82206_lociStitched	chr1	153652000	153703600	30	40030	50150.04	337	1
40_peak_133160_lociStitched	chr6	28968400	29024800	40	42840	49964.76	338	1
45_peak_20240_lociStitched	chr12	11378600	11439000	45	50045	49950.8	339	1
31_peak_134308_lociStitched	chr6	42314800	42363600	31	33431	49907.76	340	1
65_peak_13934_lociStitched	chr11	65080000	65161400	65	59265	49906.34	341	1
39_peak_132778_lociStitched	chr6	23676200	23766800	39	52239	49902.48	342	1
