#EXC Enhancers
#Created from output/EXC_5KB_STITCHED_REGION_MAP.txt
#Ranked by EXC.H3K27ac.sorted.bam
#Using cutoff of 11792.88 for Super-Enhancers
#Created on Aug 19 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EXC.H3K27ac.sorted.bam	enhancerRank	isSuper
63_peak_84540_lociStitched	chr19	37020200	37172400	63	113863	63193.44	84	1
73_peak_123689_lociStitched	chr3	105447000	105593200	73	116273	62953.72	85	1
56_peak_116155_lociStitched	chr2	167108800	167206000	56	81856	62723.16	86	1
86_peak_81323_lociStitched	chr18	78913200	79111400	86	139686	61957.32	87	1
43_peak_35407_lociStitched	chr13	43182000	43277000	43	80243	61123	88	1
48_peak_55345_lociStitched	chr15	74513400	74604200	48	81848	60990.36	89	1
72_peak_189111_lociStitched	chr9	45528000	45665200	72	105472	60834.48	90	1
84_peak_66083_lociStitched	chr16	89786800	89951200	84	113484	59956.68	91	1
58_peak_94996_lociStitched	chr1	132621200	132750600	58	104858	59938.08	92	1
43_peak_11794_lociStitched	chr11	24084600	24185000	43	93043	59547.24	93	1
45_peak_195232_lociStitched	chr9	108103400	108188400	45	83645	59330	94	1
50_peak_20528_lociStitched	chr11	104229600	104337000	50	85250	58898.16	95	1
62_peak_174033_lociStitched	chr7	132701400	132812200	62	94862	58602.12	96	1
70_peak_180890_lociStitched	chr8	84417000	84530800	70	103670	58459.06	97	1
59_peak_142665_lociStitched	chr5	35755000	35856200	59	85659	58453.12	98	1
34_peak_6630_lociStitched	chr10	84353200	84443800	34	75034	58400.76	99	1
74_peak_139095_lociStitched	chr4	150504200	150626400	74	86874	58008.34	100	1
63_peak_106796_lociStitched	chr2	65904600	66035600	63	97063	57495.9	101	1
54_peak_139482_lociStitched	chr4	152381800	152497200	54	78054	57134.54	102	1
62_peak_34677_lociStitched	chr13	34184200	34346800	62	104262	57121.38	103	1
66_peak_56912_lociStitched	chr15	82847600	82975800	66	93666	56895.16	104	1
54_peak_76911_lociStitched	chr18	35807600	35896400	54	65454	56832	105	1
73_peak_28851_lociStitched	chr12	82295600	82445000	73	110473	56667.42	106	1
51_peak_153755_lociStitched	chr6	18396400	18518600	51	105451	56651.92	107	1
57_peak_80110_lociStitched	chr18	67931600	68071200	57	96857	56635.72	108	1
55_peak_175019_lociStitched	chr7	144227400	144345000	55	95455	56612.64	109	1
65_peak_90759_lociStitched	chr1	64013400	64123400	65	87865	56562	110	1
67_peak_98649_lociStitched	chr1	170316000	170467400	67	102067	56290.52	111	1
63_peak_114634_lociStitched	chr2	156439600	156570000	63	77063	56163.28	112	1
75_peak_132627_lociStitched	chr4	87078200	87226600	75	102275	56095.2	113	1
65_peak_147668_lociStitched	chr5	112473800	112583800	65	95265	56045	114	1
74_peak_12174_lociStitched	chr11	30133200	30272800	74	120674	55993.56	115	1
47_peak_24009_lociStitched	chr12	12261200	12372000	47	92247	55699.16	116	1
46_peak_69209_lociStitched	chr17	26562600	26660600	46	83046	54840.8	117	1
38_peak_103427_lociStitched	chr2	28161800	28262400	38	72638	53649.98	118	1
73_peak_108502_lociStitched	chr2	90466200	90581600	73	96673	53637.92	119	1
70_peak_38899_lociStitched	chr13	83530400	83673000	70	116670	53603.34	120	1
43_peak_101864_lociStitched	chr2	7013000	7124600	43	73843	53311.32	121	1
71_peak_111269_lociStitched	chr2	121565400	121729800	71	83871	52821.72	122	1
45_peak_15189_lociStitched	chr11	60122400	60210600	45	73045	52523.1	123	1
59_peak_17337_lociStitched	chr11	77799600	77917400	59	80259	52326.76	124	1
56_peak_125260_lociStitched	chr3	127147600	127273400	56	91856	52307.64	125	1
60_peak_37560_lociStitched	chr13	58893000	59015600	60	104460	52276.64	126	1
71_peak_33376_lociStitched	chr13	11975400	12104800	71	108871	52251.72	127	1
52_peak_167739_lociStitched	chr7	64503400	64599600	52	83052	52044.2	128	1
66_peak_43415_lociStitched	chr14	23539600	23675200	66	94666	51744.96	129	1
70_peak_105474_lociStitched	chr2	44995600	45095800	70	80670	51432.66	130	1
65_peak_11075_lociStitched	chr11	7054800	7176400	65	96465	51363.84	131	1
51_peak_46076_lociStitched	chr14	55052000	55127400	51	60451	51294.62	132	1
42_peak_30601_lociStitched	chr12	100371200	100448600	42	70642	51192.36	133	1
71_peak_137668_lociStitched	chr4	138460000	138569400	71	78471	51056.98	134	1
58_peak_104754_lociStitched	chr2	35635000	35732800	58	84658	50983.14	135	1
57_peak_139841_lociStitched	chr4	155260400	155347600	57	78057	50933.52	136	1
47_peak_105705_lociStitched	chr2	49668800	49765200	47	87447	50610	137	1
76_peak_7933_lociStitched	chr10	98906000	99020000	76	102076	50502	138	1
64_peak_91007_lociStitched	chr1	66308000	66437800	64	96264	50401.34	139	1
34_peak_61600_lociStitched	chr16	18116000	18200200	34	58634	50385.28	140	1
105_peak_154675_lociStitched	chr6	31067400	31215200	105	147305	50281.56	141	1
57_peak_95619_lociStitched	chr1	135471600	135606600	57	96057	50071.5	142	1
56_peak_137442_lociStitched	chr4	137641400	137739200	56	73056	49741.08	143	1
53_peak_105790_lociStitched	chr2	52438600	52564600	53	92253	49707	144	1
64_peak_2955_lociStitched	chr10	42990200	43142800	64	92664	49610.26	145	1
60_peak_49932_lociStitched	chr14	120278400	120393000	60	97660	49530.12	146	1
54_peak_196529_lociStitched	chr9	120306400	120421800	54	86654	49275.8	147	1
61_peak_183959_lociStitched	chr8	120483600	120580800	61	79861	48959.64	148	1
62_peak_77486_lociStitched	chr18	38991200	39101800	62	83262	48951.56	149	1
35_peak_71614_lociStitched	chr17	56327400	56411000	35	67835	48705.36	150	1
75_peak_109485_lociStitched	chr2	97470600	97615400	75	92675	48261.84	151	1
65_peak_189536_lociStitched	chr9	47688200	47804600	65	85865	48247.8	152	1
59_peak_162681_lociStitched	chr6	121014200	121113800	59	89659	48236.28	153	1
67_peak_189655_lociStitched	chr9	48721000	48831800	67	97867	48175.84	154	1
42_peak_162129_lociStitched	chr6	118008200	118089000	42	65242	48172.96	155	1
40_peak_75781_lociStitched	chr18	23805800	23894400	40	83040	48154.1	156	1
74_peak_77727_lociStitched	chr18	40299600	40441000	74	91474	47849.76	157	1
59_peak_112760_lociStitched	chr2	136710600	136809800	59	88659	47764.8	158	1
40_peak_184712_lociStitched	chr8	124368200	124438200	40	64040	47761	159	1
49_peak_197073_lociStitched	chr9	122574600	122660600	49	83449	47601	160	1
33_peak_192769_lociStitched	chr9	75185800	75263000	33	65033	47423.96	161	1
51_peak_100729_lociStitched	chr1	192356400	192465600	51	85851	47054.28	162	1
43_peak_22902_lociStitched	chr11	119978000	120056800	43	67043	46878.12	163	1
53_peak_139384_lociStitched	chr4	152179600	152280200	53	87453	46789.06	164	1
57_peak_121038_lociStitched	chr3	79061400	79169200	57	74257	46763.64	165	1
58_peak_178791_lociStitched	chr8	54953200	55056000	58	78058	46475.88	166	1
64_peak_27340_lociStitched	chr12	70234200	70342400	64	96464	46342.06	167	1
60_peak_170468_lociStitched	chr7	96644800	96775200	60	79660	46278.96	168	1
55_peak_75160_lociStitched	chr18	12771400	12865200	55	69255	46234.02	169	1
44_peak_179116_lociStitched	chr8	64598600	64694800	44	74244	46127.9	170	1
49_peak_12114_lociStitched	chr11	29695200	29800200	49	75249	46032	171	1
45_peak_108577_lociStitched	chr2	90939200	91028600	45	71845	45978.42	172	1
64_peak_158215_lociStitched	chr6	83348600	83455800	64	82464	45913.76	173	1
54_peak_155408_lociStitched	chr6	37188200	37303600	54	84654	45779.18	174	1
49_peak_165420_lociStitched	chr7	24990800	25086200	49	51249	45753.84	175	1
60_peak_83109_lociStitched	chr19	16131600	16263600	60	96260	45553.2	176	1
48_peak_114709_lociStitched	chr2	156605600	156705800	48	77048	45470.76	177	1
44_peak_108931_lociStitched	chr2	92372400	92447600	44	53644	45368.16	178	1
67_peak_189452_lociStitched	chr9	47532600	47675200	67	104067	45318.28	179	1
41_peak_44754_lociStitched	chr14	31365200	31439000	41	63041	45143.46	180	1
51_peak_79306_lociStitched	chr18	61313600	61402000	51	77651	45075.16	181	1
34_peak_12432_lociStitched	chr11	31998600	32075400	34	70834	44697.6	182	1
50_peak_37887_lociStitched	chr13	60604200	60718200	50	85450	44574	183	1
52_peak_80892_lociStitched	chr18	75478400	75589600	52	76452	44513.36	184	1
62_peak_4637_lociStitched	chr10	69529600	69622400	62	77862	44497.6	185	1
51_peak_82566_lociStitched	chr19	7079000	7181800	51	75851	44327.36	186	1
41_peak_159488_lociStitched	chr6	91678200	91762200	41	64641	44301.6	187	1
61_peak_88631_lociStitched	chr1	37299400	37410600	61	89861	44257.6	188	1
55_peak_118288_lociStitched	chr3	28382400	28498800	55	79255	44243.64	189	1
56_peak_163021_lociStitched	chr6	126550800	126647000	56	82456	43934.54	190	1
35_peak_104166_lociStitched	chr2	32298200	32365200	35	49835	43898.4	191	1
46_peak_40322_lociStitched	chr13	99426200	99513600	46	85646	43892.28	192	1
44_peak_22331_lociStitched	chr11	118142800	118223000	44	49044	43853.36	193	1
58_peak_16663_lociStitched	chr11	74372200	74508200	58	86658	43819.2	194	1
46_peak_158648_lociStitched	chr6	86842200	86935800	46	75446	43655.04	195	1
60_peak_123002_lociStitched	chr3	97775000	97887200	60	74060	43645.8	196	1
22_peak_103879_lociStitched	chr2	30684000	30726400	22	40022	43587.2	197	1
23_peak_117091_lociStitched	chr2	181100800	181161200	23	47823	43566.52	198	1
50_peak_15100_lociStitched	chr11	59663800	59746400	50	75850	43563.24	199	1
38_peak_130639_lociStitched	chr4	53436400	53528400	38	74038	43497.6	200	1
50_peak_96298_lociStitched	chr1	151939400	152074400	50	95250	43456.5	201	1
47_peak_1258_lociStitched	chr10	18622400	18741400	47	83647	43173.2	202	1
43_peak_150353_lociStitched	chr5	128832600	128942800	43	79643	43055.14	203	1
39_peak_194456_lociStitched	chr9	103110800	103191000	39	69039	42923.04	204	1
40_peak_159643_lociStitched	chr6	92560400	92651800	40	71040	42638.1	205	1
51_peak_100657_lociStitched	chr1	192260200	192350600	51	74251	42632.64	206	1
38_peak_23882_lociStitched	chr12	11315400	11411200	38	68438	42506.46	207	1
51_peak_175769_lociStitched	chr8	11756800	11844000	51	74051	42379.2	208	1
54_peak_150128_lociStitched	chr5	125620200	125714400	54	64454	42361.74	209	1
52_peak_144055_lociStitched	chr5	53135400	53219600	52	75452	42259.98	210	1
44_peak_172169_lociStitched	chr7	113195200	113292800	44	63444	42221.76	211	1
57_peak_96455_lociStitched	chr1	152953800	153067800	57	84857	42077.4	212	1
46_peak_5329_lociStitched	chr10	75641600	75722400	46	67846	41927.12	213	1
39_peak_111832_lociStitched	chr2	129556400	129634200	39	57639	41910.86	214	1
46_peak_5276_lociStitched	chr10	75050800	75137600	46	78446	41907.04	215	1
53_peak_80432_lociStitched	chr18	69599000	69677400	53	75853	41849.92	216	1
47_peak_158928_lociStitched	chr6	88723200	88803000	47	67447	41799.24	217	1
26_peak_184393_lociStitched	chr8	122897200	122970200	26	67626	41734.1	218	1
49_peak_71175_lociStitched	chr17	48930600	49048800	49	83849	41724.6	219	1
45_peak_80414_lociStitched	chr18	69525800	69592000	45	61845	41679.52	220	1
46_peak_139599_lociStitched	chr4	153397800	153480800	46	64446	41591.3	221	1
40_peak_135865_lociStitched	chr4	127170800	127238200	40	56240	41538.62	222	1
32_peak_174835_lociStitched	chr7	141943600	142006800	32	50432	41200.08	223	1
34_peak_47801_lociStitched	chr14	70569400	70635400	34	47434	41118	224	1
49_peak_150070_lociStitched	chr5	125528600	125613600	49	60049	41038	225	1
35_peak_167659_lociStitched	chr7	63881000	63941400	35	51035	41011.6	226	1
46_peak_180961_lociStitched	chr8	84701400	84768200	46	61646	40901.64	227	1
34_peak_168921_lociStitched	chr7	79267000	79337400	34	59434	40846.08	228	1
63_peak_120789_lociStitched	chr3	69422400	69550000	63	83063	40832	229	1
54_peak_159332_lociStitched	chr6	90859000	90976000	54	76254	40762.8	230	1
50_peak_137571_lociStitched	chr4	138061000	138151800	50	68450	40660.24	231	1
41_peak_15266_lociStitched	chr11	60245400	60323200	41	61441	40634.94	232	1
46_peak_54330_lociStitched	chr15	66070000	66181600	46	71446	40588.92	233	1
35_peak_29499_lociStitched	chr12	86779000	86837000	35	40235	40449.2	234	1
48_peak_30942_lociStitched	chr12	102576400	102687000	48	75848	40446.42	235	1
50_peak_182276_lociStitched	chr8	102677000	102786000	50	72450	40428.1	236	1
41_peak_26636_lociStitched	chr12	52737800	52840000	41	75441	40348.56	237	1
45_peak_166704_lociStitched	chr7	46401200	46481800	45	62645	40332.24	238	1
44_peak_151421_lociStitched	chr5	136403400	136523200	44	75644	40324.68	239	1
55_peak_2665_lociStitched	chr10	40867400	40973200	55	78055	40288.64	240	1
35_peak_114232_lociStitched	chr2	153453200	153528000	35	58035	40234.92	241	1
39_peak_179359_lociStitched	chr8	67698800	67775800	39	69439	40093.9	242	1
37_peak_36299_lociStitched	chr13	49063000	49146400	37	65437	39940.26	243	1
45_peak_184666_lociStitched	chr8	124230400	124323800	45	75445	39741.7	244	1
35_peak_95088_lociStitched	chr1	132879000	132947400	35	54435	39706.2	245	1
37_peak_188523_lociStitched	chr9	42047600	42132600	37	66037	39686.5	246	1
27_peak_107640_lociStitched	chr2	73580800	73640400	27	58627	39622.08	247	1
49_peak_83678_lociStitched	chr19	23822200	23931600	49	74249	39613.74	248	1
42_peak_174439_lociStitched	chr7	139126000	139193200	42	55442	39553.92	249	1
51_peak_115133_lociStitched	chr2	158668800	158750600	51	62051	39550.3	250	1
50_peak_192696_lociStitched	chr9	75069800	75163600	50	68450	39527.32	251	1
26_peak_120656_lociStitched	chr3	68563400	68634800	26	60826	39355.68	252	1
52_peak_11370_lociStitched	chr11	19926200	20013400	52	75452	39257.44	253	1
54_peak_2409_lociStitched	chr10	39368400	39473600	54	82054	39218.56	254	1
43_peak_136506_lociStitched	chr4	130687000	130786800	43	76643	39201.44	255	1
46_peak_36539_lociStitched	chr13	51704800	51794800	46	66046	38907	256	1
64_peak_35681_lociStitched	chr13	44815000	44953200	64	82864	38806.56	257	1
52_peak_196747_lociStitched	chr9	121329000	121406600	52	61252	38730.16	258	1
47_peak_118540_lociStitched	chr3	31207800	31312400	47	69847	38691.54	259	1
34_peak_19389_lociStitched	chr11	97520600	97573400	34	44234	38676	260	1
55_peak_178364_lociStitched	chr8	45627000	45733600	55	65655	38621.18	261	1
38_peak_136369_lociStitched	chr4	129958400	130028600	38	53838	38617.02	262	1
47_peak_12646_lociStitched	chr11	32638200	32738400	47	82647	38597.04	263	1
26_peak_108819_lociStitched	chr2	91925200	91986600	26	52626	38559.2	264	1
41_peak_4845_lociStitched	chr10	69886400	69969800	41	60441	38522.46	265	1
48_peak_58984_lociStitched	chr15	99661400	99728600	48	53048	38492.16	266	1
38_peak_75401_lociStitched	chr18	16725000	16821800	38	66238	38487.68	267	1
46_peak_37335_lociStitched	chr13	57581400	57694600	46	62246	38476.68	268	1
51_peak_55910_lociStitched	chr15	78024000	78130200	51	66051	38433.78	269	1
40_peak_161808_lociStitched	chr6	115208400	115296200	40	67640	38342.26	270	1
36_peak_142265_lociStitched	chr5	32974800	33032800	36	48036	38251	271	1
49_peak_157208_lociStitched	chr6	58832800	58922000	49	62449	38159.76	272	1
47_peak_87539_lociStitched	chr1	22708800	22808000	47	63847	38082.88	273	1
38_peak_184128_lociStitched	chr8	121729200	121794800	38	59838	38054.56	274	1
36_peak_10498_lociStitched	chr11	3706000	3777600	36	55036	38026.76	275	1
42_peak_121578_lociStitched	chr3	84169600	84265200	42	72842	37924.52	276	1
45_peak_118276_lociStitched	chr3	28265400	28375600	45	92445	37864.72	277	1
48_peak_54131_lociStitched	chr15	64208000	64320000	48	94248	37732.8	278	1
46_peak_133890_lociStitched	chr4	104635000	104730800	46	64646	37572.76	279	1
45_peak_88736_lociStitched	chr1	37652600	37730200	45	61645	37496.32	280	1
44_peak_89151_lociStitched	chr1	39899400	39982200	44	66244	37417.32	281	1
35_peak_81053_lociStitched	chr18	77174800	77263200	35	61035	37366.68	282	1
35_peak_74022_lociStitched	chr17	87313000	87381200	35	46635	37353.14	283	1
40_peak_12325_lociStitched	chr11	31725600	31808600	40	53240	37316.8	284	1
26_peak_82861_lociStitched	chr19	10387600	10437400	26	47026	37230.48	285	1
57_peak_77082_lociStitched	chr18	36102600	36203400	57	71257	37185.12	286	1
32_peak_168655_lociStitched	chr7	75252200	75310400	32	52632	37178.16	287	1
36_peak_169946_lociStitched	chr7	91361200	91464000	36	53036	37172.48	288	1
36_peak_101809_lociStitched	chr2	6874400	6958800	36	39036	37161.32	289	1
31_peak_114902_lociStitched	chr2	157422000	157500600	31	46631	36997.02	290	1
57_peak_133296_lociStitched	chr4	101507200	101597400	57	67657	36991.02	291	1
49_peak_5804_lociStitched	chr10	78277200	78364600	49	68049	36882.8	292	1
45_peak_156442_lociStitched	chr6	50354000	50443200	45	62845	36857.44	293	1
51_peak_16139_lociStitched	chr11	68694600	68787600	51	73851	36828	294	1
65_peak_66657_lociStitched	chr16	94360200	94474400	65	94065	36795.24	295	1
49_peak_23616_lociStitched	chr12	5294000	5387200	49	68449	36720.8	296	1
50_peak_95146_lociStitched	chr1	133176400	133269000	50	71050	36558.48	297	1
26_peak_56008_lociStitched	chr15	78664600	78720600	26	50026	36254.4	298	1
54_peak_35958_lociStitched	chr13	45859200	45967600	54	72054	36205.6	299	1
37_peak_194510_lociStitched	chr9	103533400	103607400	37	61037	36119.4	300	1
47_peak_57657_lociStitched	chr15	87617000	87706000	47	70847	36018.3	301	1
52_peak_164058_lociStitched	chr6	140435000	140525200	52	75052	35971.76	302	1
49_peak_81571_lociStitched	chr18	82506000	82593800	49	58449	35927.76	303	1
38_peak_47418_lociStitched	chr14	66808000	66874600	38	61038	35857.44	304	1
49_peak_135116_lociStitched	chr4	119828400	119923000	49	68249	35815.56	305	1
47_peak_107071_lociStitched	chr2	68945800	69051000	47	60647	35778.52	306	1
27_peak_6015_lociStitched	chr10	80117000	80181600	27	35027	35639.82	307	1
48_peak_6137_lociStitched	chr10	80728200	80810800	48	48648	35584.08	308	1
35_peak_35366_lociStitched	chr13	43004600	43102000	35	67835	35541.26	309	1
49_peak_107522_lociStitched	chr2	72077400	72179800	49	72049	35532.8	310	1
29_peak_77246_lociStitched	chr18	37810600	37858400	29	40629	35462.82	311	1
55_peak_27644_lociStitched	chr12	71832200	71939600	55	81055	35409.78	312	1
49_peak_45055_lociStitched	chr14	34816600	34913200	49	79849	35345.94	313	1
50_peak_135958_lociStitched	chr4	127986600	128101200	50	66250	35319.72	314	1
35_peak_176285_lociStitched	chr8	14965800	15043400	35	54435	35245.92	315	1
43_peak_29560_lociStitched	chr12	86935800	87004600	43	51243	35225.6	316	1
46_peak_63482_lociStitched	chr16	35152600	35240600	46	72446	35200	317	1
53_peak_114781_lociStitched	chr2	156923600	156990400	53	59053	35103.4	318	1
42_peak_71323_lociStitched	chr17	50551800	50658000	42	69642	35035.38	319	1
22_peak_168967_lociStitched	chr7	79493600	79535600	22	31622	35007	320	1
42_peak_70972_lociStitched	chr17	47144400	47235200	42	51442	34939.84	321	1
59_peak_63809_lociStitched	chr16	38092600	38204200	59	80859	34875	322	1
45_peak_80678_lociStitched	chr18	73928400	74024000	45	65045	34731.48	323	1
45_peak_139803_lociStitched	chr4	155140200	155219800	45	74045	34705.6	324	1
36_peak_182959_lociStitched	chr8	110662000	110742200	36	47236	34654.42	325	1
36_peak_169558_lociStitched	chr7	84325800	84411400	36	58636	34633.76	326	1
44_peak_194878_lociStitched	chr9	106288600	106349600	44	55844	34629.7	327	1
32_peak_170152_lociStitched	chr7	92233800	92309400	32	58032	34503.84	328	1
35_peak_95385_lociStitched	chr1	134181200	134247400	35	57435	34430.62	329	1
45_peak_26204_lociStitched	chr12	44364800	44442400	45	64445	34392.32	330	1
41_peak_184083_lociStitched	chr8	121602800	121676400	41	52641	34297.6	331	1
49_peak_8949_lociStitched	chr10	111163400	111263400	49	74649	34190	332	1
34_peak_104450_lociStitched	chr2	33299400	33372800	34	55034	34175.04	333	1
46_peak_2445_lociStitched	chr10	39480200	39573600	46	70246	34147.04	334	1
29_peak_143076_lociStitched	chr5	37212800	37290600	29	55429	34091.96	335	1
49_peak_109660_lociStitched	chr2	102287600	102386000	49	62049	34007.04	336	1
46_peak_134514_lociStitched	chr4	110199800	110282600	46	64046	33997.68	337	1
33_peak_109758_lociStitched	chr2	102648600	102746000	33	61233	33924.42	338	1
29_peak_77284_lociStitched	chr18	38056400	38116200	29	46629	33876.7	339	1
34_peak_13408_lociStitched	chr11	42463800	42543200	34	55434	33872.04	340	1
31_peak_79139_lociStitched	chr18	60706000	60767800	31	52831	33866.4	341	1
37_peak_175089_lociStitched	chr7	144355200	144427000	37	53637	33839.34	342	1
