ml	CpG.number
chr1_35402785_35403800	0.22	16
chr1_35749283_35750251	0.59	18
chr1_35864181_35864727	0.2	11
chr1_35995499_35996130	0.11	7
chr1_36095147_36096314	0.23	16
chr1_36457807_36458437	0.46	6
chr1_36603264_36603799	0.07	7
chr1_36691204_36692309	0.02	53
chr1_36764229_36764697	0.36	6
chr1_37065516_37066346	0.05	13
chr1_37231197_37231888	0.07	7
chr1_37248298_37248941	0.16	3
chr1_37347224_37348146	0.17	10
chr1_37350826_37352295	0.26	12
chr1_37358549_37359271	0.11	14
chr1_37744528_37745473	0.38	11
chr1_38199810_38200524	0.29	15
chr1_38288557_38289288	0.16	3
chr1_38332932_38333434	0.17	7
chr1_38358525_38359452	0.22	31
chr1_38449854_38450334	0	4
chr1_38729892_38730852	0.06	14
chr1_38806531_38807584	0.49	16
chr1_39159965_39160663	0.12	5
chr1_39176973_39177880	0.02	27
chr1_39458191_39458901	0.91	9
chr1_39555893_39556841	0.14	13
chr1_39656926_39657474	0.56	6
chr1_39676140_39676682	0.24	4
chr1_39713855_39714586	0.18	16
chr1_39893135_39893783	0.73	9
chr1_39962728_39963456	0.01	13
chr1_40235538_40236188	0.07	5
chr1_40600473_40601272	0.06	24
chr1_41027471_41028149	0	5
chr1_41152236_41153585	0.19	11
chr1_41244544_41245163	0.27	15
chr1_43178194_43179331	0.02	9
chr1_43199255_43200274	0.06	6
chr1_45837638_45838111	0.16	4
chr1_46066279_46067208	0.01	23
chr1_46593588_46594193	0.34	4
chr1_46853115_46854164	0	82
chr1_47112251_47112972	0.05	2
chr1_47129879_47130424	0.71	1
chr1_47216938_47217629	0.43	4
chr1_48055175_48055592	0.33	2
chr1_48608951_48609523	0.02	2
chr1_48733505_48734064	0.41	2
chr1_51199045_51200064	0.12	15
chr1_51991852_51993011	0.21	12
chr1_52149880_52150541	0.06	12
chr1_52159027_52159494	0.02	5
chr1_52260311_52261049	0.48	4
chr1_52280060_52280792	0.11	8
chr1_52331289_52332245	0.03	14
chr1_52465014_52465783	0.03	4
chr1_52764007_52764478	0.02	3
chr1_52986508_52987077	0.08	8
chr1_54005673_54006338	0.05	4
chr1_54118382_54119059	0	8
chr1_54925676_54926694	0	10
chr1_55453822_55454661	0.4	7
chr1_55499788_55500515	0	1
chr1_56788398_56788896	0.03	5
chr1_57205515_57206545	0.17	19
chr1_57213434_57214131	0.14	16
chr1_57510566_57511240	0.13	9
chr1_57606037_57606652	0.19	3
chr1_57633919_57634588	0.31	4
chr1_57799168_57799952	0.51	7
chr1_57969509_57970392	0.01	58
chr1_58210147_58211047	0.03	30
chr1_58359251_58359950	0.11	12
chr1_58739258_58740167	0.07	8
chr1_58830625_58831205	0.08	5
chr1_58909619_58910198	0.16	11
chr1_58936871_58938149	0.19	18
chr1_59312239_59312906	0.19	7
chr1_59376229_59377031	0.57	16
chr1_59566691_59567631	0.49	9
chr1_59592254_59592810	0.01	13
chr1_59602739_59603707	0.09	13
chr1_59987440_59988142	0.02	4
chr1_60097443_60098674	0	41
chr1_60580875_60581592	0.05	11
chr1_60795515_60796216	0.11	5
chr1_60846572_60847532	0.01	8
chr1_61321507_61322162	0.08	6
chr1_62398630_62399200	0.01	4
chr1_62595114_62595890	0.07	4
chr1_62687249_62688572	0.08	21
chr1_62908315_62909046	0.11	12
chr1_63113876_63115233	0.01	27
chr1_63705714_63706487	0.17	9
chr1_63934418_63935443	0.02	8
chr1_63964197_63964992	0	2
chr1_64978151_64978759	0	8
chr1_65333852_65335163	0.06	13
chr1_66321652_66322236	0.02	16
chr1_70861859_70862160	0.22	3
chr1_71418426_71418989	0.47	6
chr1_71771722_71772483	0.12	9
chr1_71971789_71972333	0.14	7
chr1_72236227_72236967	0	29
chr1_72414041_72414779	0.37	16
chr1_72558607_72559367	0.81	3
chr1_72746218_72746928	0.17	13
chr1_72832770_72833536	0.6	9
chr1_73064003_73065142	0.49	10
chr1_73160144_73160657	0.73	4
chr1_73724425_73725051	0.58	2
chr1_74081610_74082167	0.2	4
chr1_74121735_74122569	0.21	7
chr1_74542298_74543095	0.16	11
chr1_74635549_74636226	0.6	9
chr1_74772488_74773544	0.01	28
chr1_74829782_74830651	0.18	16
chr1_75128729_75129508	0.17	9
chr1_75457924_75459680	0.01	22
chr1_75572712_75573179	0.49	6
chr1_75671261_75671617	0.27	7
chr1_75728655_75729164	0.2	2
chr1_75839400_75839998	0.4	11
chr1_75848466_75848992	0.25	6
chr1_75978203_75979073	0.23	11
chr1_76070539_76071301	0.04	16
chr1_76427253_76428150	0.02	9
chr1_76466449_76467041	0.12	4
chr1_76821663_76822162	0	5
chr1_76872733_76873843	0.05	9
chr1_77053889_77054595	0.77	4
chr1_77186226_77186734	0.14	6
chr1_77346521_77347147	0.21	6
chr1_77521731_77522892	0.24	19
chr1_77708331_77708983	0.8	13
chr1_78032472_78032839	0.12	1
chr1_78584944_78585614	0.25	4
chr1_78784962_78785441	0.25	7
chr1_79450102_79450900	0.04	24
chr1_79485226_79486282	0.3	9
chr1_79580806_79581825	0.02	23
chr1_79902787_79903316	0.39	2
chr1_80073704_80074710	0.02	9
chr1_80390399_80391063	0.05	8
chr1_80616577_80617147	0.55	6
chr1_82189473_82190108	0.2	5
chr1_82793860_82794458	0.06	4
chr1_82795981_82796518	0.06	14
chr1_83152861_83153663	0.37	3
chr1_83248048_83248707	0.76	3
chr1_83494981_83495444	0.49	4
chr1_83551227_83551986	0.18	1
chr1_84366180_84366837	0.23	5
chr1_84386361_84387273	0.05	10
chr1_84396461_84397215	0.33	3
chr1_84427435_84428696	0.1	13
chr1_84463865_84465241	0.24	9
chr1_84694630_84696252	0.01	55
chr1_85757949_85758924	0.02	11
chr1_85828973_85829612	0.25	2
chr1_85857398_85857839	0.15	4
chr1_85869648_85870917	0.07	12
chr1_85942353_85942822	0.46	7
chr1_86032057_86032857	0.12	10
chr1_86178880_86179553	0.38	4
chr1_86202603_86203199	0.01	9
chr1_86245283_86246134	0.12	6
chr1_86281642_86282625	0.12	12
chr1_86500981_86502056	0.07	13
chr1_87541600_87542393	0.14	17
chr1_87621429_87622443	0.53	6
chr1_87659210_87659928	0.39	10
chr1_87680767_87681525	0.14	9
chr1_87732955_87734528	0.05	14
chr1_87792964_87793983	0.19	17
chr1_88718461_88719175	0.06	4
chr1_88725686_88726368	0.06	2
chr1_88756800_88757781	0.06	15
chr1_88865522_88865861	0.2	2
chr1_89035028_89035796	0.05	6
chr1_89049615_89050409	0.4	11
chr1_89057267_89057959	0.31	5
chr1_89171185_89171885	0.09	8
chr1_89184245_89184963	0.08	7
chr1_89308674_89309156	0.65	14
chr1_89416883_89417510	0.03	6
chr1_89478431_89479437	0.45	4
chr1_89587972_89588928	0.15	11
chr1_89648768_89649418	0.31	10
chr1_89804831_89805489	0.18	11
chr1_89849422_89850285	0.07	19
chr1_89878338_89879071	0.23	17
chr1_90054481_90055518	0.23	9
chr1_90379985_90380796	0.6	14
chr1_90461666_90462231	0.44	2
chr1_90487846_90488470	0.08	4
chr1_90690676_90691961	0.05	11
chr1_90701662_90702237	0.11	1
chr1_90808979_90809555	0.22	12
chr1_90866473_90867487	0.18	7
chr1_91052799_91053607	0.04	10
chr1_91331858_91332901	0.1	9
chr1_91352277_91353017	0.85	8
chr1_91457584_91458878	0.01	19
chr1_91539668_91540888	0.01	59
chr1_91597513_91598167	0.13	7
chr1_91865900_91866715	0.55	11
chr1_91912254_91913003	0.14	4
chr1_92309571_92310579	0.02	8
chr1_92324105_92324780	0.26	11
chr1_92343254_92344251	0.57	10
chr1_92363862_92364495	0.26	8
chr1_92437587_92438650	0.45	15
chr1_92519012_92519598	0.18	8
chr1_92712152_92712825	0.06	9
chr1_92781954_92782396	0.01	5
chr1_92875669_92876338	0.16	6
chr1_93362574_93363176	0.33	7
chr1_93577132_93578358	0.06	14
chr1_93698427_93699842	0.33	11
chr1_93753841_93755619	0	76
chr1_94000883_94001519	0.25	6
chr1_95267925_95268673	0.66	13
chr1_95341862_95342774	0.26	2
chr1_97554322_97555416	0.12	12
chr1_98268564_98269392	0.27	5
chr1_99285447_99286222	0.27	1
chr1_104226603_104227653	0.03	8
chr1_105876417_105877205	0.02	9
chr1_106427991_106428664	0.13	11
chr1_106865585_106866587	0.28	12
chr1_107581056_107581692	0.03	1
chr1_109982316_109983805	0.02	54
chr1_116192229_116192773	0.01	2
chr1_116306624_116307132	0.13	3
chr1_118810015_118810903	0.35	8
chr1_119016595_119017165	0.18	6
chr1_119033751_119034802	0.39	15
chr1_119183457_119184323	0.21	19
chr1_119292048_119292720	0.84	11
chr1_119380536_119381160	0.13	7
chr1_119383840_119384380	0.01	9
chr1_119525132_119526520	0.02	55
chr1_120021834_120022419	0.25	18
chr1_120136023_120136959	0.35	6
chr1_120207363_120208009	0.46	9
chr1_120726647_120727340	0.55	6
chr1_121478315_121479458	0.24	15
chr1_121527286_121528776	0.08	67
chr1_121540426_121541024	0.29	9
chr1_122048092_122049059	0.08	2
chr1_122212378_122213034	0.21	3
chr1_122393603_122394681	0.2	6
chr1_124439136_124440128	0.45	5
chr1_124705995_124706937	0	3
chr1_124777415_124778258	0.03	3
chr1_124825667_124826232	0.05	7
chr1_125236621_125237460	0.12	11
chr1_125925443_125926064	0.56	5
chr1_126153725_126154336	0.14	6
chr1_126218797_126219071	0.71	2
chr1_126264354_126265709	0.1	18
chr1_126331916_126332632	0.01	3
chr1_126469918_126470839	0.02	5
chr1_126656077_126656838	0.04	5
chr1_127105807_127106734	0.24	12
chr1_127152485_127153350	0.11	10
chr1_127251527_127252389	0.26	13
chr1_127306137_127306927	0.53	17
chr1_127380658_127381515	0.12	14
chr1_127541191_127542279	0.64	12
chr1_127868544_127869284	0.02	33
chr1_128020386_128020879	0.06	1
chr1_128073076_128073709	0.02	7
chr1_128243668_128244897	0	49
chr1_128786991_128787666	0.22	12
chr1_128991119_128991814	0.17	3
chr1_129602123_129602938	0.03	2
chr1_129712726_129713652	0.24	6
chr1_130130720_130131428	0.29	3
chr1_130740286_130741526	0.31	17
chr1_130849538_130850257	0.28	11
chr1_130962081_130962508	0.28	4
chr1_130998183_130998861	0.31	12
chr1_131062774_131063359	0.02	7
chr1_131074097_131075006	0.11	11
chr1_131125796_131126617	0.18	13
chr1_131167185_131168058	0.34	19
chr1_131310133_131311127	0.81	7
chr1_131335465_131336134	0.7	5
chr1_131351422_131352017	0.39	5
chr1_131736848_131737861	0.1	15
chr1_131754776_131755511	0.53	9
chr1_132043382_132044400	0.08	6
chr1_132211971_132212608	0.01	28
chr1_132267790_132269063	0.21	13
chr1_132417177_132418230	0.01	46
chr1_132476614_132477700	0	42
chr1_132708986_132709856	0.03	5
chr1_132749361_132749778	0.16	6
chr1_132845624_132846179	0.68	12
chr1_132893131_132894098	0.08	10
chr1_132915749_132916658	0	6
chr1_133071465_133072324	0.15	20
chr1_133225898_133227604	0.16	23
chr1_133244687_133245222	0.16	9
chr1_133286880_133287702	0.13	8
chr1_133311674_133312416	0.21	15
chr1_133332525_133333330	0.41	9
chr1_133353094_133353993	0.29	11
chr1_133492343_133493012	0.05	12
chr1_133815589_133816495	0.29	11
chr1_133842004_133843051	0.06	6
chr1_133863277_133864216	0.1	15
chr1_133915696_133916324	0.03	7
chr1_133953316_133953988	0.36	12
chr1_134099000_134099661	0.23	15
chr1_134123210_134124173	0.33	9
chr1_134361412_134362520	0.01	40
chr1_135449832_135450520	0.29	12
chr1_135572503_135573195	0	1
chr1_135637324_135638079	0.43	8
chr1_135650002_135650808	0.5	6
chr1_135793460_135794313	0.29	12
chr1_135872830_135873377	0.16	5
chr1_135891365_135892698	0.22	18
chr1_135906698_135907238	0.07	11
chr1_135999703_136000584	0.23	10
chr1_136118154_136119290	0.38	21
chr1_136470414_136470934	0.15	4
chr1_136664889_136665366	0	3
chr1_136676003_136676763	0.1	19
chr1_136683858_136684434	0.03	6
chr1_136713702_136714695	0.04	16
chr1_136739375_136739945	0.17	6
chr1_137363378_137364051	0.12	2
chr1_137656769_137657779	0.24	8
chr1_138148721_138149601	0.04	7
chr1_138256190_138256820	0.26	4
chr1_138928759_138929348	0.4	11
chr1_138983249_138984368	0.13	17
chr1_138995461_138996575	0.2	7
chr1_143200155_143200865	0.01	4
chr1_143503353_143504038	0.03	13
chr1_143903842_143904654	0.15	4
chr1_143917372_143918148	0.17	7
chr1_144003337_144004676	0	59
chr1_144916604_144917130	0.16	7
chr1_145227180_145227681	0.31	1
chr1_149856635_149857248	0.05	9
chr1_149867201_149867759	0.02	1
chr1_150118332_150118909	0.12	7
chr1_150933390_150934051	0.02	12
chr1_151171704_151172406	0.26	2
chr1_151250631_151251548	0.14	19
chr1_151258118_151259440	0.51	24
chr1_151427848_151429267	0	88
chr1_151777542_151778077	0.19	5
chr1_151986047_151986767	0.18	10
chr1_151998879_151999948	0.15	15
chr1_152304620_152305213	0.03	11
chr1_152393677_152394755	0.24	5
chr1_152594119_152594593	0.02	4
chr1_152830846_152831733	0.14	14
chr1_152838153_152839450	0.2	25
chr1_152983319_152983954	0.04	19
chr1_153035583_153036109	0.7	1
chr1_153065353_153066164	0.2	10
chr1_153084030_153084712	0.28	6
chr1_153163983_153164417	0.31	3
chr1_153180192_153181111	0.06	13
chr1_153287773_153288509	0.1	8
chr1_153641884_153642849	0.11	23
chr1_153652798_153653757	0.04	27
chr1_154102618_154103447	0.25	13
chr1_154252601_154253371	0.06	8
chr1_154285674_154286460	0.17	6
chr1_154602489_154602994	0.13	1
chr1_154712748_154713406	0.37	7
chr1_154748495_154749032	0.04	3
chr1_154865857_154866451	0.12	3
chr1_155028945_155029748	0.11	14
chr1_155252909_155253646	0.02	19
chr1_155698231_155698969	0.11	12
chr1_155715468_155715861	0.45	1
chr1_156024707_156025303	0.06	7
chr1_156442635_156443317	0.16	9
chr1_156727590_156728124	0.14	8
chr1_156765076_156765812	0.08	6
chr1_157019754_157020464	0.33	11
chr1_157101225_157101749	0.19	10
chr1_157168749_157170222	0.02	16
chr1_157181019_157181483	0.62	1
chr1_157220422_157221106	0.04	2
chr1_157476080_157476635	0.26	3
chr1_157565175_157565660	0.44	6
chr1_157655282_157656036	0.11	7
chr1_157669411_157670228	0.1	9
chr1_158061917_158062453	0.06	6
chr1_158256006_158256624	0.13	4
chr1_158581664_158582535	0.19	2
chr1_158732755_158733563	0.08	4
chr1_158740892_158741733	0.2	9
chr1_159499756_159500637	0.3	4
chr1_159639178_159639893	0.19	8
chr1_159716798_159717785	0.03	15
chr1_159723440_159724063	0.46	7
chr1_159739306_159739926	0.22	6
chr1_159787819_159789031	0.17	14
chr1_159879732_159880413	0.68	7
chr1_160050655_160051425	0.04	6
chr1_160100695_160101638	0.27	10
chr1_160579394_160580057	0.12	12
chr1_161376008_161376343	0.67	1
chr1_161463588_161464194	0.63	2
chr1_161491675_161492242	0.08	7
chr1_161506317_161506850	0.03	4
chr1_162299916_162300536	0.46	16
chr1_164704455_164705632	0.04	19
chr1_164721805_164722793	0.11	5
chr1_164758530_164759014	0	1
chr1_164770068_164771139	0.32	13
chr1_164786343_164787066	0.07	8
chr1_165020964_165021651	0.06	10
chr1_165281315_165282397	0	24
chr1_165385655_165386461	0.44	15
chr1_165556380_165557385	0.22	7
chr1_166330468_166331471	0.05	7
chr1_166800886_166801759	0.74	12
chr1_166843335_166843966	0.22	13
chr1_167239709_167240486	0.03	19
chr1_167780115_167780559	0.02	2
chr1_167945611_167946332	0.03	12
chr1_168008183_168008592	0.03	1
chr1_169155923_169156512	0.01	8
chr1_169346763_169347935	0.17	5
chr1_169422236_169422929	0.01	6
chr1_169519215_169520041	0.11	16
chr1_169729213_169730117	0.13	10
chr1_169764251_169764964	0	8
chr1_169858755_169859490	0.05	5
chr1_169868325_169869286	0.01	13
chr1_170554781_170555559	0.18	6
chr1_170731858_170732716	0.05	7
chr1_170998142_170998965	0.01	17
chr1_171101952_171103516	0	52
chr1_171110645_171111421	0.03	28
chr1_171195816_171196598	0.08	15
chr1_171672988_171673578	0.07	6
chr1_171788223_171789448	0.16	14
chr1_171886803_171887582	0.18	2
chr1_171938895_171939676	0.39	9
chr1_172247004_172247643	0.23	4
chr1_172281388_172282096	0.16	9
chr1_172562603_172563652	0.01	51
chr1_172632339_172633420	0.03	45
chr1_172638732_172639575	0.45	5
chr1_173033150_173033598	0.2	1
chr1_173357548_173358403	0	5
chr1_174548210_174548799	0.13	9
chr1_174557928_174559013	0.1	6
chr1_174811618_174812341	0.27	7
chr1_174921338_174922193	0.07	26
chr1_175069780_175070471	0.15	7
chr1_175289857_175290305	0.31	2
chr1_175307509_175308158	0.28	5
chr1_175579393_175580750	0.18	19
chr1_176196685_176197629	0.33	6
chr1_176213566_176214197	0.17	17
chr1_176939787_176940435	0.04	9
chr1_177051063_177051888	0.03	12
chr1_177286329_177287230	0.63	9
chr1_177307556_177308956	0	18
chr1_177347079_177347952	0.04	8
chr1_177372197_177372860	0.4	11
chr1_177468359_177469090	0.4	10
chr1_177498885_177499421	0.28	17
chr1_177509584_177510376	0.07	11
chr1_177545046_177545960	0.21	19
chr1_177592136_177592821	0.82	13
chr1_177608547_177609259	0.84	18
chr1_177615493_177616221	0.54	12
chr1_177625880_177626636	0.26	8
chr1_178187064_178187950	0	17
chr1_178357732_178358492	0.07	11
chr1_178405387_178406784	0	38
chr1_179011918_179012832	0.84	12
chr1_179511739_179512347	0.01	7
chr1_179814439_179815241	0.01	3
chr1_179923440_179924229	0.45	9
chr1_179939782_179940715	0.02	29
chr1_180249869_180250479	0.63	18
chr1_180520037_180520986	0.02	16
chr1_180549637_180550407	0.06	7
chr1_180564637_180565281	0.07	9
chr1_180576545_180578321	0.46	19
chr1_180767928_180768924	0.07	28
chr1_180777493_180778583	0.13	35
chr1_180813032_180814654	0.07	23
chr1_181285266_181286094	0.1	15
chr1_181327913_181329030	0.12	13
chr1_181368904_181369671	0	3
chr1_181381290_181381939	0.07	13
chr1_181398858_181399814	0.36	11
chr1_181510659_181511481	0.28	19
chr1_181535274_181536280	0.18	13
chr1_181589054_181589571	0.11	6
chr1_182028548_182029230	0.54	17
chr1_182516650_182518051	0	41
chr1_182775778_182776057	0.6	1
chr1_182951171_182951894	0.23	17
chr1_183043107_183043701	0.12	11
chr1_183084404_183084958	0.15	8
chr1_183134240_183134964	0.34	9
chr1_183151336_183152063	0.11	12
chr1_183442131_183442649	0.02	13
chr1_184033235_184035341	0.01	119
chr1_184920014_184920498	0.03	7
chr1_184969306_184969919	0.05	9
chr1_185069956_185070887	0.05	10
chr1_185177772_185178555	0.3	10
chr1_185284722_185285406	0.39	9
chr1_186229737_186230365	0.03	6
chr1_186249153_186249705	0.1	6
chr1_186261108_186261875	0.15	5
chr1_186537943_186538755	0.18	5
chr1_187028572_187029444	0.16	10
chr1_187119096_187119739	0.04	6
chr1_187124851_187126473	0.16	22
chr1_187785009_187785846	0.02	7
chr1_188077380_188078154	0.91	12
chr1_188221102_188221908	0.23	8
chr1_188568387_188568818	0.06	7
chr1_188709958_188710564	0.58	1
chr1_188810488_188811083	0.15	10
chr1_189039158_189039897	0.06	6
chr1_189632162_189632833	0.06	12
chr1_189750197_189750974	0.33	10
chr1_189786900_189787846	0.28	20
chr1_189817730_189818481	0	15
chr1_189960133_189961008	0.03	13
chr1_191540536_191541590	0.02	16
chr1_191559822_191560397	0.34	6
chr1_191592047_191592910	0.13	15
chr1_191610143_191611002	0.13	14
chr1_191638393_191639661	0.21	8
chr1_191796234_191797033	0.08	5
chr1_191802243_191803332	0.11	12
chr1_191808485_191809468	0.31	15
chr1_191950544_191951078	0.03	2
chr1_192052135_192052907	0.21	10
chr1_192070065_192071221	0.12	17
chr1_192101341_192101825	0.04	10
chr1_192785947_192786646	0.61	6
chr1_192834550_192835535	0.02	31
chr1_193047508_193048127	0.02	4
chr1_193249926_193250514	0	2
chr1_193272394_193273058	0.55	23
chr1_193351386_193352142	0.08	5
chr1_193363938_193364480	0.09	5
chr1_193636247_193637151	0.17	9
chr1_193763694_193764602	0.92	1
chr1_193784906_193785533	0.66	2
chr1_193949990_193950464	0	1
chr1_194511252_194511867	0.09	2
chr1_194613830_194614484	0	4
chr1_194795069_194795831	0.21	4
chr1_194860877_194861658	0.2	1
chr1_194885015_194886181	0.06	11
chr1_194929616_194930864	0.27	5
chr1_194945227_194945929	0.41	3
chr1_195241541_195242063	0.1	32
chr10_3383155_3383567	0.07	3
chr10_3513823_3514958	0.06	9
chr10_3523332_3523962	0.2	5
chr10_3633945_3634462	0.35	4
chr10_3978763_3979597	0.86	7
chr10_4112768_4113898	0.12	18
chr10_4265580_4267407	0.11	58
chr10_4849790_4850380	0.19	3
chr10_5378794_5379963	0.23	8
chr10_5437766_5438411	0.01	2
chr10_5449885_5450477	0.02	2
chr10_5499527_5500098	0.35	5
chr10_5528285_5528908	0.25	4
chr10_5876968_5877534	0.2	5
chr10_6895611_6896592	0.61	8
chr10_6909667_6910190	0	2
chr10_6936569_6937229	0.03	4
chr10_7103393_7104251	0.05	10
chr10_7111498_7112044	0.21	6
chr10_7267863_7269152	0.26	20
chr10_7582123_7583077	0.28	16
chr10_7725681_7726412	0.01	30
chr10_7956241_7956755	0	19
chr10_7959091_7959541	0.01	6
chr10_8181463_8182260	0.34	4
chr10_8236694_8237672	0.08	11
chr10_9113571_9114157	0.03	6
chr10_9258633_9259177	0.11	1
chr10_9416306_9417167	0.58	8
chr10_9586176_9586840	0.03	6
chr10_10688506_10689795	0.02	40
chr10_10737115_10738012	0.61	5
chr10_10917866_10918383	0.04	7
chr10_11342956_11344110	0.01	69
chr10_11659856_11660805	0.07	1
chr10_11787204_11787772	0.11	2
chr10_12302326_12302826	0.04	4
chr10_12796256_12797070	0.83	10
chr10_12807445_12808212	0.24	14
chr10_12821133_12821985	0.21	12
chr10_12922356_12923286	0	62
chr10_13500890_13501778	0	21
chr10_13587616_13588797	0.03	13
chr10_13600778_13601425	0.43	4
chr10_13782394_13783091	0.07	9
chr10_13844790_13845424	0	4
chr10_13868477_13869224	0	20
chr10_13874717_13875502	0.32	7
chr10_13921564_13922100	0.01	6
chr10_14179347_14180452	0.01	21
chr10_14314178_14315752	0.04	19
chr10_14365094_14365566	0.45	1
chr10_14759545_14760481	0.01	29
chr10_15299946_15300555	0.02	10
chr10_15867789_15868695	0.02	3
chr10_17814930_17815477	0.17	11
chr10_17841960_17842650	0.14	8
chr10_17844511_17845206	0.05	5
chr10_18007417_18008545	0.44	9
chr10_18070021_18070976	0.32	5
chr10_18482667_18483335	0.22	5
chr10_18627312_18628022	0.08	13
chr10_19001943_19002827	0.24	17
chr10_19121833_19122713	0.19	14
chr10_19778997_19779959	0.24	18
chr10_19922445_19922923	0.46	4
chr10_20311769_20313293	0	102
chr10_20454292_20455004	0.62	7
chr10_20474775_20475367	0.53	9
chr10_20547749_20548683	0.09	22
chr10_20585852_20586684	0.1	10
chr10_20854878_20855443	0.17	13
chr10_21320316_21321164	0.14	13
chr10_21342350_21343062	0.19	13
chr10_21443400_21444295	0.1	14
chr10_21659111_21660372	0.14	14
chr10_21762452_21763624	0.11	26
chr10_21853507_21854553	0.38	17
chr10_21881939_21883320	0.01	41
chr10_21902012_21902768	0.22	5
chr10_22058055_22059099	0.09	41
chr10_22322682_22323509	0.71	5
chr10_22631642_22632346	0.28	9
chr10_23144367_23144963	0	2
chr10_24778524_24779169	0.27	18
chr10_24869594_24870414	0.01	46
chr10_25000053_25001768	0.08	31
chr10_25016093_25016610	0.2	9
chr10_25082859_25083411	0.84	12
chr10_25151345_25152062	0.24	5
chr10_25620957_25621579	0.38	8
chr10_25715661_25715998	0.33	3
chr10_26034564_26035500	0.02	7
chr10_26249392_26250345	0.3	11
chr10_26296862_26297876	0.32	13
chr10_26695119_26695808	0.01	22
chr10_26752443_26753504	0.43	20
chr10_26815546_26816251	0.35	13
chr10_27117460_27118191	0.2	4
chr10_27322587_27323316	0.09	5
chr10_28113694_28114363	0.04	7
chr10_28128143_28129039	0.19	9
chr10_30030540_30031115	0.29	6
chr10_30789496_30789830	0.13	5
chr10_32052143_32053212	0.19	9
chr10_36951698_36952930	0.1	5
chr10_37812440_37812771	0.29	3
chr10_38436932_38438033	0.1	8
chr10_38897033_38898387	0.39	9
chr10_38908121_38908910	0.05	12
chr10_39049226_39050059	0.06	6
chr10_39185116_39185866	0.04	10
chr10_39209166_39209950	0.48	10
chr10_39291085_39291705	0.26	8
chr10_39343454_39343968	0.05	1
chr10_39349725_39350233	0.09	13
chr10_39471850_39472511	0.12	9
chr10_39731053_39733088	0	44
chr10_39959730_39960598	0.01	43
chr10_40053935_40054970	0.36	15
chr10_40069097_40069824	0.42	9
chr10_40128479_40129352	0.37	11
chr10_40416699_40417564	0.15	13
chr10_40604660_40605543	0.07	6
chr10_40638274_40640137	0.04	38
chr10_42118596_42119523	0.18	18
chr10_42939729_42940091	0.23	7
chr10_43420551_43421437	0.16	26
chr10_43657555_43657991	0.7	3
chr10_43667886_43668593	0.1	15
chr10_44381236_44381910	0.61	10
chr10_44685184_44685793	0.37	5
chr10_45445959_45446498	0.25	7
chr10_45485344_45487050	0.01	72
chr10_52823057_52824073	0.13	4
chr10_53060414_53061336	0.35	2
chr10_54040101_54041004	0.04	10
chr10_54448265_54449416	0.02	2
chr10_56431392_56432020	0.1	13
chr10_57631560_57632990	0.03	45
chr10_58392219_58392801	0	4
chr10_58445802_58447313	0.02	69
chr10_58698969_58699683	0.36	8
chr10_58926444_58927044	0.17	7
chr10_59166222_59166922	0.27	13
chr10_59590504_59591048	0.02	11
chr10_60172746_60173592	0.08	12
chr10_60634131_60635128	0.31	19
chr10_60817026_60817565	0.29	11
chr10_60995752_60996781	0.15	13
chr10_61294272_61294770	0.21	11
chr10_61330818_61331588	0.21	14
chr10_61431069_61431780	0.14	14
